UDI,Product ID,p_failure,rank,alert_topk,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
70,L47249,1.0,1,True,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0
604,L47783,1.0,2,True,L,297.9,309.8,1336,71.6,31,1,0,0,1,0,0
881,M15740,1.0,3,True,M,295.8,306.3,1235,76.2,89,1,0,0,1,0,0
1017,M15876,1.0,4,True,M,296.3,307.2,1319,68.3,24,1,0,0,1,0,0
1145,L48324,1.0,5,True,L,297.0,307.9,1296,69.1,153,1,0,0,1,0,0
1325,M16184,1.0,6,True,M,298.8,310.1,1243,74.5,194,1,0,0,1,1,0
3001,H32414,1.0,7,True,H,300.5,309.8,1324,72.8,159,1,0,0,1,0,0
3855,L51034,1.0,8,True,L,302.4,311.0,1338,67.6,194,1,0,0,1,1,0
3944,L51123,1.0,9,True,L,302.3,311.4,1333,66.7,205,1,0,0,1,1,0
4072,L51251,1.0,10,True,L,301.9,310.6,1331,68.6,85,1,0,0,1,0,0
4384,L51563,1.0,11,True,L,301.7,309.5,1298,65.5,229,1,0,1,0,1,0
4406,L51585,1.0,12,True,L,302.4,310.2,1331,45.5,53,1,0,1,0,0,0
4418,L51597,1.0,13,True,L,302.6,310.4,1365,66.8,80,1,0,1,1,0,0
4463,L51642,1.0,14,True,L,302.7,310.5,1263,67.8,197,1,0,1,0,1,0
4481,H33894,1.0,15,True,H,302.7,310.4,1305,55.2,20,1,0,1,0,0,0
4557,M19416,1.0,16,True,M,302.7,310.6,1349,51.2,6,1,0,1,0,0,0
4559,L51738,1.0,17,True,L,302.7,310.7,1369,47.5,11,1,0,1,0,0,0
4643,L51822,1.0,18,True,L,303.2,311.4,1238,54.6,226,1,0,1,0,1,0
4644,L51823,1.0,19,True,L,303.2,311.4,1324,54.2,228,1,0,1,0,1,0
4666,M19525,1.0,20,True,M,303.4,311.4,1307,54.0,44,1,0,1,0,0,0
4730,L51909,1.0,21,True,L,303.4,311.8,1306,61.0,215,1,0,1,0,1,0
4937,L52116,1.0,22,True,L,303.5,312.4,1284,70.6,94,1,0,0,1,0,0
5395,M20254,1.0,23,True,M,302.8,312.3,1262,70.5,234,1,0,0,1,1,0
5616,M20475,1.0,24,True,M,303.0,312.2,1257,71.3,122,1,0,0,1,0,0
5910,H35323,1.0,25,True,H,300.7,310.2,1364,65.3,208,1,1,0,1,1,0
6526,L53705,1.0,26,True,L,301.1,310.4,1312,73.6,49,1,0,0,1,0,0
7281,L54460,1.0,27,True,L,299.9,310.2,1288,69.6,62,1,0,0,1,0,0
9975,L57154,1.0,28,True,L,298.6,308.2,1361,68.2,172,1,0,0,1,1,0
4921,L52100,0.9966258629548714,29,True,L,303.4,312.2,1337,69.4,52,1,0,0,1,0,0
5707,L52886,0.9950301136621288,30,True,L,302.4,311.9,1290,70.0,139,1,0,0,1,0,0
4407,L51586,0.99326260972224,31,True,L,302.5,310.3,1326,58.5,55,1,0,1,0,0,0
2126,L49305,0.9929078014184397,32,True,L,299.3,308.9,1258,69.4,119,1,0,0,1,0,0
2300,L49479,0.9929078014184397,33,True,L,299.4,308.7,1446,62.9,134,1,0,0,1,0,0
2599,L49778,0.9929078014184397,34,True,L,299.1,308.8,1320,67.5,20,1,0,0,1,0,0
4255,L51434,0.9929078014184397,35,True,L,302.6,311.0,1284,68.0,114,1,0,1,1,0,0
4343,M19202,0.9929078014184397,36,True,M,301.7,309.8,1284,68.2,111,1,0,1,1,0,0
4390,M19249,0.9929078014184397,37,True,M,302.1,310.0,1355,45.1,6,1,0,1,0,0,0
4410,M19269,0.9929078014184397,38,True,M,302.4,310.1,1358,54.6,61,1,0,1,0,0,0
4476,L51655,0.9929078014184397,39,True,L,302.7,310.5,1351,41.8,10,1,0,1,0,0,0
4662,L51841,0.9929078014184397,40,True,L,303.3,311.3,1350,48.1,32,1,0,1,0,0,0
4749,L51928,0.9929078014184397,41,True,L,303.2,311.2,1363,46.7,29,1,0,1,0,0,0
8583,M23442,0.9929078014184397,42,True,M,297.5,308.1,1334,72.0,151,1,0,0,1,0,0
161,L47340,0.9901960784313726,43,True,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0
1497,L48676,0.9901960784313726,44,True,L,298.0,308.7,1268,69.4,189,1,0,0,1,1,0
1790,L48969,0.9901960784313726,45,True,L,298.2,307.9,1313,67.3,67,1,0,0,1,0,0
2762,L49941,0.9901960784313726,46,True,L,299.8,309.3,1299,65.1,212,1,0,0,0,1,0
3761,L50940,0.9901960784313726,47,True,L,302.3,310.9,1377,46.8,166,1,0,1,0,0,0
3830,H33243,0.9901960784313726,48,True,H,302.3,310.9,1366,48.4,130,1,0,1,0,0,0
4082,L51261,0.9901960784313726,49,True,L,302.0,310.4,1336,58.2,110,1,0,1,0,0,0
4139,L51318,0.9901960784313726,50,True,L,301.7,310.2,1311,57.4,40,1,0,1,0,0,0
4141,L51320,0.9901960784313726,51,False,L,301.7,310.2,1331,61.2,47,1,0,1,0,0,0
4165,L51344,0.9901960784313726,52,False,L,302.2,310.6,1346,47.5,109,1,0,1,0,0,0
4174,M19033,0.9901960784313726,53,False,M,302.2,310.6,1346,49.2,134,1,0,1,0,0,0
4180,L51359,0.9901960784313726,54,False,L,302.4,310.9,1349,46.1,148,1,0,1,0,0,0
4183,L51362,0.9901960784313726,55,False,L,302.4,310.7,1362,54.8,155,1,0,1,0,0,0
4185,L51364,0.9901960784313726,56,False,L,302.2,310.6,1334,53.2,159,1,0,1,0,0,0
4186,L51365,0.9901960784313726,57,False,L,302.2,310.6,1348,48.4,161,1,0,1,0,0,0
4250,L51429,0.9901960784313726,58,False,L,302.5,310.9,1330,56.9,97,1,0,1,0,0,0
4252,H33665,0.9901960784313726,59,False,H,302.5,310.9,1356,55.5,101,1,0,1,0,0,0
4254,M19113,0.9901960784313726,60,False,M,302.6,311.0,1329,48.6,111,1,0,1,0,0,0
4271,L51450,0.9901960784313726,61,False,L,302.6,310.9,1331,52.0,154,1,0,1,0,0,0
4284,M19143,0.9901960784313726,62,False,M,301.8,309.9,1334,61.0,182,1,0,1,0,0,0
4308,L51487,0.9901960784313726,63,False,L,301.4,309.9,1259,63.9,20,1,0,1,0,0,0
4324,L51503,0.9901960784313726,64,False,L,301.8,310.3,1341,50.5,64,1,0,1,0,0,0
4329,L51508,0.9901960784313726,65,False,L,301.6,310.1,1326,48.2,77,1,0,1,0,0,0
4371,L51550,0.9901960784313726,66,False,L,302.0,309.9,1308,57.6,197,1,0,1,0,1,0
4436,L51615,0.9901960784313726,67,False,L,302.3,310.1,1321,52.7,134,1,0,1,0,0,0
4502,L51681,0.9901960784313726,68,False,L,302.5,310.2,1307,54.0,86,1,0,1,0,0,0
4511,L51690,0.9901960784313726,69,False,L,302.4,310.2,1346,62.4,106,1,0,1,0,0,0
4537,L51716,0.9901960784313726,70,False,L,302.4,310.2,1351,45.1,168,1,0,1,0,0,0
4571,L51750,0.9901960784313726,71,False,L,302.8,310.9,1312,52.2,40,1,0,1,0,0,0
4612,L51791,0.9901960784313726,72,False,L,303.0,311.3,1365,56.2,146,1,0,1,0,0,0
4619,M19478,0.9901960784313726,73,False,M,303.0,311.3,1335,53.6,164,1,0,1,0,0,0
4652,L51831,0.9901960784313726,74,False,L,303.2,311.4,1349,51.1,9,1,0,1,0,0,0
4703,L51882,0.9901960784313726,75,False,L,303.6,311.8,1222,66.8,148,1,0,1,0,0,0
4738,M19597,0.9901960784313726,76,False,M,303.2,311.5,1336,58.2,2,1,0,1,0,0,0
4740,L51919,0.9901960784313726,77,False,L,303.2,311.4,1351,53.8,8,1,0,1,0,0,0
4756,L51935,0.9901960784313726,78,False,L,303.4,311.7,1295,51.3,51,1,0,1,0,0,0
4762,H34175,0.9901960784313726,79,False,H,303.7,311.9,1332,52.7,66,1,0,1,0,0,0
4769,L51948,0.9901960784313726,80,False,L,303.6,312.0,1309,52.9,86,1,0,1,0,0,0
